no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,0,1,2,0,14.584667144200775,0,0,0,10.133668720465554,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,2.1104769557146987,0,0,0,12.7568623249923,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,0.009966240381495555,0,0,0,9.753931099158653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,14.248197534363127,0,0,0,12.386096521868524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,7.679823010834335,0,0,0,12.069057093898765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,17.235860398215713,0,0,0,13.198944996415953,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,6.548825866563435,0,0,0,12.804074384341463,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,9.75434377174095,0,0,0,12.698466589207658,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,0,4,0,11.409672698005561,0,0,0,12.20877910665283,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,5,0,7.382523458369656,0,0,0,14.11218655144627,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,0,0,-2.4047385239985353,0,0,0,11.495032511888255,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,6.639149931100781,0,0,0,14.436318007857134,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,1,0,6.168335789554839,0,0,0,11.67916867686006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,0,0,10.32444538723758,0,0,0,11.800992718260904,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,7.607124173565279,0,0,0,12.069057093898765,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,15.359878614378314,0,0,0,13.198944996415953,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,-2.4047385239985353,0,0,0,12.156638921524621,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,0.009966240381495555,0,0,0,12.156638921524621,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,10.50355226334518,0,0,0,10.133668720465554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,3.803671935308651,0,0,0,10.635857228907387,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,10.50355226334518,0,0,0,10.133668720465554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,11.448098121369412,0,0,0,10.280456661171458,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,4,0,0.7825566810065498,0,0,0,11.49315225239375,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,6.814672810770127,0,0,0,12.66501035020906,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,11.748060997894115,0,0,0,12.069057093898765,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,10.50355226334518,0,0,0,13.162534614518833,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,8.481338316461375,0,0,0,10.133668720465554,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,0.7825566810065498,0,0,0,12.935761747629307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,2,0,6.814672810770127,0,0,0,7.723197152619936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8.227359265577123,0,0,0,11.302996336563096,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,1.322020010631007,0,0,0,16.014101402595074,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,2,0,10.847534355941391,0,0,0,11.648443527168327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0.7825566810065498,0,0,0,10.4601499346053,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,9.180230666789404,0,0,0,11.524436072744049,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,1,5.4095867131092445,0,0,0,13.198944996415953,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,6.548825866563435,0,0,0,11.23864883330332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,16.093163293308233,0,0,0,10.280456661171458,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,15.148835510831068,0,0,0,10.040491413104817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,13.559308420206381,0,0,0,13.545667304795078,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,4,0,8.724068355620622,0,0,0,12.016091346611054,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,6.639149931100781,0,0,0,12.498682713472045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,10.369694958586008,0,0,0,13.545667304795078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,7.147271986941719,0,0,0,12.277831841363628,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,8.161950459171436,0,0,0,9.753931099158653,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,0,3,0,12.312307656098815,0,0,0,10.841756183289997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,6.362619049624176,0,0,0,10.705074558607633,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,8.161950459171436,0,0,0,12.60990090378679,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,8.291979901117552,0,0,0,11.121563618166812,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
